Movimiento,Fecha,Fecha valor,MÃ¡s datos,Importe,Saldo
PAYPAL *STEAM GAM,24/06/2018,24/06/2018,,"4,99","294,27"
ADK DONNER KEBAB,24/06/2018,24/06/2018,,"8,20","299,26"
REINT.CAJERO,23/06/2018,23/06/2018,,"10,00","307,46"
SUPERSOL GRAL VIV,23/06/2018,23/06/2018,,"4,22","317,46"
RINCON DE HILARIO,22/06/2018,22/06/2018,,"8,30","321,68"
EUROPAN LAS REMUD,21/06/2018,21/06/2018,,"5,20","329,98"
SUPERSOL GRAL VIV,21/06/2018,21/06/2018,,"4,79","335,18"
MC DONALDS EL MUE,20/06/2018,20/06/2018,,"4,90","339,97"
MC DONALDS EL MUE,20/06/2018,20/06/2018,,"3,90","344,87"
SUPERSOL GRAL VIV,20/06/2018,20/06/2018,,"6,69","348,77"
SUPERSOL GRAL. BR,20/06/2018,20/06/2018,,"1,08","355,46"
EUROPAN LAS REMUD,19/06/2018,19/06/2018,,"4,00","356,54"
MERCADONA REPUBLI,19/06/2018,19/06/2018,,"36,76","360,54"
SUPERSOL GRAL. BR,19/06/2018,19/06/2018,,"1,37","397,30"
SUPERSOL GRAL VIV,18/06/2018,18/06/2018,,"2,91","398,67"
BURGER KING TOMAS,17/06/2018,17/06/2018,,"13,27","401,58"
AliExpress,16/06/2018,16/06/2018,,"4,73","414,85"
NATURAL BURGUER T,15/06/2018,15/06/2018,,"16,45","419,58"
PARQUE SANTA CATA,15/06/2018,15/06/2018,,"10,00","436,03"
REINT.CAJERO,15/06/2018,15/06/2018,,"10,00","446,03"
SUPERSOL GRAL VIV,15/06/2018,15/06/2018,,"27,46","456,03"
GLADERAS KEBAB HO,14/06/2018,14/06/2018,,"15,20","483,49"
SUPERSOL GRAL. BR,14/06/2018,14/06/2018,,"1,04","498,69"
SUPERSOL GRAL VIV,13/06/2018,13/06/2018,,"4,01","499,73"
SUPERSOL GRAL. BR,13/06/2018,13/06/2018,,"0,86","503,74"
REINT.CAJERO,13/06/2018,13/06/2018,,"10,00","504,60"
MCDONALD MESA Y L,12/06/2018,12/06/2018,,"2,00","514,60"
MCDONALD MESA Y L,12/06/2018,12/06/2018,,"3,90","516,60"
SUPERSOL GRAL. BR,12/06/2018,12/06/2018,,"1,34","520,50"
SUPERSOL GRAL VIV,11/06/2018,11/06/2018,,"8,48","521,84"
AliExpress,10/06/2018,10/06/2018,,"4,48","530,32"
MCDONALD MESA Y L,10/06/2018,10/06/2018,,"5,40","534,80"
NATURAL BURGER,10/06/2018,10/06/2018,,"4,35","540,20"
SUPERSOL GRAL VIV,09/06/2018,09/06/2018,,"10,70","544,55"
MERCADONA REPUBLI,08/06/2018,08/06/2018,,"17,91","555,25"
EL CORTE INGLES+D,08/06/2018,08/06/2018,,"4,10","573,16"
SUPERSOL GRAL VIV,08/06/2018,08/06/2018,,"5,75","577,26"
BURGER KING TOMAS,07/06/2018,07/06/2018,,"8,49","583,01"
WWW.ALIEXPRESS.CO,07/06/2018,07/06/2018,,"3,87","591,50"
SUPERSOL GRAL VIV,07/06/2018,07/06/2018,,"4,16","595,37"
RINCON DE HILARIO,06/06/2018,06/06/2018,,"5,95","599,53"
SUPERSOL GRAL. BR,06/06/2018,06/06/2018,,"1,44","605,48"
REINT.CAJERO,03/06/2018,03/06/2018,,"10,00","606,92"
PAYPAL *SPOTIFY,03/06/2018,03/06/2018,,"0,99","616,92"
MCDONALD MESA Y L,02/06/2018,02/06/2018,,"11,50","617,91"
EL CORTE INGLES+D,01/06/2018,01/06/2018,,"9,86","629,41"
REINT.CAJERO,01/06/2018,01/06/2018,,"10,00","639,27"
PAYPAL *RIOTGAMES,01/06/2018,01/06/2018,,"10,00","649,27"
SUPERSOL GRAL VIV,01/06/2018,01/06/2018,,"7,28","659,27"
GUAGUAS MUNICIPAL,01/06/2018,01/06/2018,,"28,00","666,55"
SPAR TOMAS MILLER,31/05/2018,31/05/2018,,"10,91","694,55"
MCDONALD MESA Y L,31/05/2018,31/05/2018,,"6,80","705,46"
CORRESP. 05/2018,31/05/2018,31/05/2018,,"0,59","712,26"
REINT.CAJERO,31/05/2018,31/05/2018,,"20,00","712,85"
RINCON DE HILARIO,30/05/2018,30/05/2018,,"8,30","732,85"
SUPERSOL GRAL VIV,29/05/2018,29/05/2018,,"16,54","741,15"
SUPERSOL GRAL VIV,28/05/2018,28/05/2018,,"8,35","757,69"
WWW.ALIEXPRESS.CO,27/05/2018,27/05/2018,,"6,83","766,04"
NATURAL BURGER,26/05/2018,26/05/2018,,"4,35","772,87"
SPAR TOMAS MILLER,26/05/2018,26/05/2018,,"4,29","777,22"